Price,Close,High,Low,Open,Volume
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,,
2025-11-28,529023.8125,550983.291509434,529023.8125,549985.1333726415,2680138
2025-12-01,537009.0625,543996.1692611524,524033.0070864312,541001.6949349443,3134704
2025-12-02,556972.25,557970.4081541218,541001.7195340502,546990.6684587813,2686580
2025-12-03,550983.3125,557970.4197237319,542998.0471014493,548986.9961503623,2586619
2025-12-04,541001.75,541999.908210332,531020.1678966789,541001.75,2858305
2025-12-05,542998.0625,544994.37890625,526029.373046875,529023.84765625,3204933
2025-12-08,575937.25,578931.7244367418,532018.2915944541,541999.87305026,4288433
2025-12-09,564957.5,573940.9231448763,562961.183745583,567951.9743816254,2391174
2025-12-10,585918.8125,591907.7611797274,568950.1245741056,569948.2826873935,3986083
2025-12-11,563959.375,587915.1714601769,563959.375,581926.2223451327,4021907
2025-12-12,569948.3125,577933.577823993,558968.5726795096,563959.3635070053,2646148
2025-12-15,552979.625,562462.1275947653,534014.6198104693,534014.6198104693,2482125
2025-12-16,529023.8125,549985.1333726415,529023.8125,543996.1845518867,3287998
2025-12-17,549985.125,552979.5993647913,524033.0138384755,529023.8044464609,2692626
2025-12-18,550983.3125,561963.0524230073,536010.9398777174,537009.0980525363,2959059
2025-12-19,545992.5,568950.1371115174,545992.5,567951.978976234,3440005
2025-12-22,578931.75,578931.75,565955.6935344827,572942.800862069,2878464
2025-12-23,582924.375,591907.7985873288,579929.9004708905,583922.5331763698,2011188
2025-12-24,586917.0,589911.474489796,582924.3673469388,585918.8418367347,2160697
2025-12-26,597896.75,603885.699081803,588913.3263772955,592905.9590984975,4243548
2025-12-29,638821.25,638821.25,623848.876953125,628839.66796875,4176151
2025-12-30,649800.9375,657786.2024769585,632832.2494239631,637823.0400345622,4094603
2026-01-02,675753.0625,677749.3787850812,645808.3182237814,649800.9507939438,4181895
2026-01-05,694718.0625,698710.6950431034,682740.1648706896,696714.3787715518,4337511
2026-01-06,724662.8125,725660.9706439395,669764.1145833334,688729.1193181819,4830275
2026-01-07,740633.375,760596.5387466308,726659.1603773584,758600.2223719676,5693115
2026-01-08,754607.5625,786548.6233465609,729653.6087136244,729653.6087136244,6496379
2026-01-09,742629.6875,754607.5856854839,725660.9984038979,742629.6875,4343703
2026-01-12,747620.4375,760596.4931575434,733646.2237149533,753609.38626502,3329793
2026-01-13,736640.75,752611.2811653117,722666.5352303523,751613.1229674798,3771944
2026-01-14,740633.375,748618.6404986522,726659.1603773584,731649.9513140161,4885051
2026-01-15,747620.4375,748618.5956275034,725660.9586949266,730651.7493324432,3003414
2026-01-16,754607.5625,761594.6695601853,745624.1391369049,749616.7717427249,3712326
2026-01-19,762592.8125,772574.393815445,748618.598658377,753609.3893160995,3392008
2026-01-20,741631.5,762592.8209959624,735642.5511440107,762592.8209959624,2762369
2026-01-21,738637.0625,754607.593581081,726659.1641891892,727657.3223817567,5108442
2026-01-22,753609.4375,771576.2850165563,749616.8047185431,764589.1776490066,3545309
2026-01-23,765587.3125,774570.7359843546,742629.6747066493,752611.2563559322,3508272
2026-01-26,734644.375,752611.2211277174,734644.375,751613.0630095109,3133330
2026-01-27,798526.5,798526.5,731649.905625,736640.69625,5660198
2026-01-28,839451.0,852427.0558858502,801520.9904875149,808508.0975029727,6708497
2026-01-29,859414.1875,882371.8254936121,817491.544207317,877381.0346254356,6837983
2026-01-30,907325.75,929285.2290979098,851428.8941144114,852427.0522552255,7875195
2026-02-02,828471.25,886364.421686747,828471.25,868397.5753012048,7634191
2026-02-03,905329.4375,905329.4375,869395.7442805954,872390.2187155458,5272538
2026-02-04,898342.3125,904331.26125,881373.624375,882371.7825,3800763
2026-02-05,840449.1875,875384.723797506,836456.5547802851,849432.6111193587,5473720
2026-02-06,837454.6875,848434.4271454111,789543.0963200238,803517.3104141835,5581574
2026-02-09,885366.3125,897344.2107525365,871392.0978720406,896346.0525648252,4228584
2026-02-10,874386.5625,903333.1496147261,874386.5625,892353.4096746575,3441377
2026-02-11,858416.0,872390.2139534884,846438.1023255814,858416.0,3125590
2026-02-12,886364.4375,892353.386402027,876382.8559966217,880375.488597973,4619344
2026-02-13,878379.1875,901336.8253551137,876382.8711647728,887362.6110085228,3534047
2026-02-19,892353.375,911318.3796140939,886364.4261744966,903333.1145134228,3285109
2026-02-20,947252.0625,953241.0112618547,879377.309865648,890357.0492623815,5054333
2026-02-23,949248.4375,978195.0249737118,939266.8556125131,978195.0249737118,3523887
2026-02-24,1003148.9375,1003148.9375,944257.6068407961,950246.5557213931,4102382
2026-02-25,1016125.0,1036088.1630648329,1002150.7858546169,1010136.0510805501,3462525
2026-02-26,1099000.0,1099000.0,1023000.0,1024000.0,4758110
