symbol,name,market,price,avg_amount,volume_ratio
278240,코스닥150선물레버리지,KOSPI,18815.0,3649890271.75,0.23321387489670234
114260,국고채3년,KOSPI,61655.0,3644745212.0,1.0779746946978157
010660,화천기계,KOSPI,5830.0,3631135480.5,0.37741428972853386
000080,하이트진로,KOSPI,16670.0,3623566779.0,0.49646057338016975
451220,아이엠티,KOSDAQ,12250.0,3616525399.0,0.1721806037051872
138530,그룹플러스,KOSPI,9100.0,3608970671.0,0.24776500461263898
161000,애경케미칼,KOSPI,9670.0,3595897352.0,0.26266854389857813
002630,오리엔트바이오,KOSPI,529.0,3588607144.55,0.12828378044081196
185750,종근당,KOSPI,86700.0,3587226040.0,0.9437756320308827
266420,헬스케어,KOSPI,22595.0,3578516065.0,0.5057486108605509
332290,누보,KOSDAQ,1362.0,3566177197.0,1.053007309219615
252400,선물레버리지,KOSPI,75325.0,3565427687.5,0.7650822876273383
423170,한국형글로벌반도체액티브,KOSPI,40840.0,3555745856.75,0.7135412865795812
010100,한국무브넥스,KOSPI,4555.0,3545988820.0,0.3027892179055462
462860,더즌,KOSDAQ,3675.0,3520050160.25,0.23652741199718738
006040,동원산업,KOSPI,37500.0,3519865465.0,0.9830686078233652
013580,계룡건설,KOSPI,24950.0,3515161045.0,0.39073328543641955
414780,차이나과창판STAR50,KOSPI,12245.0,3512599825.0,0.7630600796979925
282000,국고채3년선물인버스,KOSPI,113025.0,3505901736.0,0.00041921284726141144
487130,인프라액티브,KOSPI,22470.0,3485274959.0,0.9180866656561192
095660,네오위즈,KOSDAQ,27650.0,3485141887.5,0.542666788836263
139250,에너지화학,KOSPI,16140.0,3469261992.5,2.2913205980066444
054450,텔레칩스,KOSDAQ,12850.0,3466486264.0,0.27917936950294214
471040,글로벌AI,KOSPI,24595.0,3460297311.5,1.0523710523710523
005300,롯데칠성,KOSPI,120100.0,3458625320.0,0.5796832646500242
477050,머니마켓액티브,KOSPI,52715.0,3449885988.0,0.6538096917348672
277640,코스피대형주,KOSPI,29645.0,3449038369.75,0.22847790507364976
304360,에스바이오메딕스,KOSDAQ,34750.0,3447823555.0,0.687878382481913
473460,미국서학개미,KOSPI,22335.0,3446630116.5,0.3843416640495993
219130,타이거일렉,KOSDAQ,33650.0,3431042065.0,0.5089324819010234
214320,이노션,KOSPI,19540.0,3428482631.5,0.38190796385795334
304100,솔트룩스,KOSDAQ,25250.0,3424275093.0,2.5724085703482333
337140,코스피대형주,KOSPI,28750.0,3418577183.25,0.3093011736836438
415920,글로벌희토류,KOSPI,9255.0,3411125598.25,0.42972342333202634
340930,유일에너테크,KOSDAQ,1031.0,3411034355.5,0.22392884141478903
018250,애경산업,KOSPI,14330.0,3409211546.5,0.1355989015885236
088800,에이스테크,KOSDAQ,3420.0,3399741500.75,0.9573534298960709
001680,대상,KOSPI,20050.0,3399711160.0,1.1500594668291126
013810,스페코,KOSDAQ,2840.0,3397137260.0,0.5294253469696718
481180,미국AI소프트웨어,KOSPI,12790.0,3392375018.25,0.46645448603606166
092070,디엔에프,KOSDAQ,20400.0,3380086456.0,0.3790567622882563
228760,지노믹트리,KOSDAQ,19660.0,3376898161.5,0.5545141205781684
264450,유비쿼스,KOSDAQ,14440.0,3374527871.0,1.1192891225344976
310870,디와이씨,KOSDAQ,1609.0,3368586426.3,0.459391522137492
000670,영풍,KOSPI,51200.0,3366949300.0,0.5589796487562145
078070,유비쿼스홀딩스,KOSDAQ,14850.0,3365949458.0,3.964175072996774
265520,시스템,KOSDAQ,22350.0,3360640905.0,0.9023055112622363
053800,안랩,KOSDAQ,61900.0,3354305560.0,0.38889701752481465
012340,뉴인텍,KOSDAQ,351.0,3350826954.85,0.3480066068220024
416180,신성에스티,KOSDAQ,35100.0,3347103285.0,0.306975591624334
081180,쎄크,KOSDAQ,12150.0,3338425396.5,0.4482440110522202
283580,차이나CSI300,KOSPI,16275.0,3332099928.0,0.39851507119698165
026960,동서,KOSPI,25150.0,3325077037.5,0.5055070641730435
051980,중앙첨단소재,KOSDAQ,1647.0,3314134071.75,1.0151537056024482
003535,한화투자증권우,KOSPI,8470.0,3312092124.5,0.031248431845817586
453810,인도Nifty50,KOSPI,12740.0,3304180294.5,0.9153412975405465
123410,코리아에프티,KOSDAQ,7360.0,3292660375.0,0.3124621269682251
023900,풍국주정,KOSDAQ,9950.0,3292245861.5,0.8899181566344831
365000,인터넷TOP10,KOSPI,4950.0,3276380423.5,0.17551710636918683
030210,다올투자증권,KOSPI,4595.0,3273069919.5,0.4563923791083866
218420,미국S,KOSPI,20035.0,3272063574.75,0.8491332595079646
124560,태웅로직스,KOSDAQ,2785.0,3270918679.75,0.567328867219748
451530,국고채30년스트립액티브,KOSPI,47120.0,3263003810.25,0.5977142899019101
450910,코스닥150,KOSPI,19210.0,3260029639.5,0.08622749617002474
025540,한국단자,KOSPI,70200.0,3252581225.0,0.6751758053924041
498270,미국양자컴퓨팅,KOSPI,12415.0,3250850971.75,0.41924262121885497
007310,오뚜기,KOSPI,366000.0,3248897250.0,0.6321654726687339
448300,미국나스닥100,KOSPI,19275.0,3248002757.0,0.525129160708181
495330,코리아밸류업,KOSPI,24710.0,3246438286.1,0.16312376706209142
094940,푸른기술,KOSDAQ,10130.0,3234586037.5,0.3372842348831694
005180,빙그레,KOSPI,77800.0,3234143945.0,0.7618796316810094
476040,오가노이드사이언스,KOSDAQ,26800.0,3209454327.5,0.9025450747606337
219390,미국S,KOSPI,7410.0,3200154922.25,0.7646480728408099
017390,서울가스,KOSPI,67400.0,3198432885.0,0.23487311252989354
004690,삼천리,KOSPI,140000.0,3157228905.0,0.591003943703404
009835,한화솔루션우,KOSPI,27400.0,3153413885.0,0.24156755750024791
220260,켐트로스,KOSDAQ,5270.0,3148072311.0,0.2728164329487445
448290,미국S,KOSPI,15615.0,3146750296.5,0.7565765830290037
005960,동부건설,KOSPI,7670.0,3131060354.0,0.41686900756589274
228810,미디어컨텐츠,KOSPI,5295.0,3121672830.5,0.4084281681776317
459510,나우로보틱스,KOSDAQ,22700.0,3121125447.5,0.3961985951615498
064290,인텍플러스,KOSDAQ,15410.0,3116218841.5,0.31039576838207095
236200,슈프리마,KOSDAQ,48600.0,3115056815.0,0.3664387587030159
025820,이구산업,KOSPI,5040.0,3111259786.5,0.3725253947298585
453870,인도니프티50,KOSPI,12520.0,3108378186.5,0.6884636992908403
495550,코리아밸류업TR,KOSPI,25450.0,3103393925.25,0.5229149146343092
294570,쿠콘,KOSDAQ,29700.0,3098640512.5,0.2574554432398329
480370,씨케이솔루션,KOSPI,2660.0,3077381832.35,0.06989278515138164
382480,지아이텍,KOSDAQ,2320.0,3069269077.75,0.24174925395160496
066310,큐에스아이,KOSDAQ,9780.0,3065358787.0,0.5910099297134142
003520,영진약품,KOSPI,1811.0,3055485539.65,0.16927012293530957
007820,에스엠코어,KOSDAQ,5410.0,3048722344.5,0.3272078268484559
211050,인카금융서비스,KOSDAQ,12570.0,3043690368.5,1.0478355096090437
066430,아이로보틱스,KOSDAQ,2390.0,3043420149.25,0.3315283538573465
089590,제주항공,KOSPI,5160.0,3035729639.0,0.4239044835359545
089790,제이티,KOSDAQ,5790.0,3032147201.0,0.1813231503134023
364990,게임TOP10,KOSPI,5590.0,3023926108.75,0.7674278693911503
003850,보령,KOSPI,9340.0,3013558201.5,0.37634013925584703
474590,반도체밸류체인액티브,KOSPI,29020.0,2996228260.25,0.5586411979028068
309960,인베스트먼트,KOSDAQ,5550.0,2995544146.0,0.5888261628186179
041440,현대에버다임,KOSDAQ,8180.0,2992775731.0,0.3594072210346808
053950,경남제약,KOSDAQ,695.0,2989762070.65,0.3131760997095195
004100,태양금속,KOSPI,3070.0,2987492835.5,0.7635541576909335
461580,코스닥글로벌,KOSPI,18430.0,2981372287.5,0.09754665305796904
271940,일진하이솔루스,KOSPI,16880.0,2975427264.5,0.6950490858842694
058970,엠로,KOSDAQ,31250.0,2969159570.0,0.7390163026768533
306040,에스제이그룹,KOSDAQ,8400.0,2968696867.0,0.4797594733749101
136480,하림,KOSDAQ,3095.0,2963078892.75,0.3131762387542934
064820,케이프,KOSDAQ,10990.0,2953942449.0,0.6433762586280997
