date,code,name,entry_price,exit_price,return,exit_reason,signals,gap_pct,change_pct,trade_amount
2026-03-06,089030,테크윙,68541.0,67512.885,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",2.865761689291101,4.252199413489736,942183854100.0
2026-03-06,009830,한화솔루션,46983.74999999999,46278.993749999994,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",5.292792792792793,10.802139037433154,931364155400.0
2026-03-06,042700,한미반도체,327629.99999999994,322715.54999999993,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",3.492063492063492,2.3006134969325154,744453374000.0
2026-03-06,322000,HD현대에너지솔루션,93163.49999999999,95958.40499999998,3.0,take_profit,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",2.885682574916759,26.321467098166128,531339025100.0
2026-03-06,010820,퍼스텍,8542.5,8414.3625,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",10.103626943005182,6.11764705882353,320331174680.0
2026-03-10,000660,SK하이닉스,919574.9999999999,905781.3749999999,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",9.449760765550238,2.5136612021857925,4975993386000.0
2026-03-10,032820,우리기술,18592.499999999996,18313.612499999996,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",6.9364161849710975,11.621621621621623,1654508892400.0
2026-03-10,034020,두산에너빌리티,100801.49999999999,103825.54499999998,3.0,take_profit,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",4.261954261954262,2.1934197407776668,1108452220000.0
2026-03-10,005935,삼성전자우,131353.5,129383.1975,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",7.572016460905349,2.9074215761285385,823352241000.0
2026-03-10,036930,주성엔지니어링,65224.49999999999,64246.13249999999,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",8.347245409015025,7.858243451463791,368471390000.0
2026-03-10,043260,성호전자,41204.99999999999,42441.149999999994,3.0,take_profit,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",6.493506493506493,20.48780487804878,328750825000.0
2026-03-10,010170,대한광통신,4633.049999999999,4563.554249999999,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",8.598351001177857,19.522776572668114,305631280720.0
2026-03-10,006910,보성파워텍,9788.699999999999,9641.869499999999,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",5.411255411255411,5.544147843942506,207890075600.0
