symbol,name,market,strategy,score,price,volatility,returns_6m,max_dd,rsi,details
379790,유로스탁스50,KOSPI,배당성장,70,15485.0,21.28,5.76,-16.71,33.0,"['✅ 변동성 21.3% (매우 안정)', '✅ 꾸준한 성장 (6M 5.8%)', '✅ 낙폭 작음 (-16.7%)']"
385720,코스피액티브,KOSPI,배당성장,70,20660.0,55.52,68.38,-19.85,49.0,"['❌ 변동성 55.5% (높음)', '✅ 꾸준한 성장 (6M 68.4%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.9%)', '✅ RSI 적정 (49.0)']"
390390,미국반도체,KOSPI,배당성장,70,39970.0,31.67,39.08,-27.64,48.4,"['⚡ 변동성 31.7% (안정)', '✅ 꾸준한 성장 (6M 39.1%)', '⚡ 낙폭 보통 (-27.6%)', '✅ RSI 적정 (48.4)']"
401170,메타버스,KOSPI,배당성장,70,7970.0,40.8,8.88,-19.39,40.5,"['❌ 변동성 40.8% (높음)', '✅ 꾸준한 성장 (6M 8.9%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.4%)', '✅ RSI 적정 (40.5)']"
411060,금현물,KOSPI,배당성장,70,33500.0,44.02,42.98,-19.93,49.1,"['❌ 변동성 44.0% (높음)', '✅ 꾸준한 성장 (6M 43.0%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.9%)', '✅ RSI 적정 (49.1)']"
417630,혁신기업ESG30,KOSPI,배당성장,70,17545.0,46.23,41.51,-17.85,44.8,"['❌ 변동성 46.2% (높음)', '✅ 꾸준한 성장 (6M 41.5%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-17.9%)', '✅ RSI 적정 (44.8)']"
423160,금리액티브,KOSPI,배당성장,70,110745.0,0.14,1.29,0.0,100.0,"['✅ 변동성 0.1% (매우 안정)', '⚡ 안정적 (6M 1.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (0.0%)']"
424460,글로벌워터MSCI,KOSPI,배당성장,70,16120.0,16.41,7.89,-8.15,34.5,"['✅ 변동성 16.4% (매우 안정)', '✅ 꾸준한 성장 (6M 7.9%)', '✅ 낙폭 작음 (-8.2%)']"
440340,글로벌멀티에셋TIF액티브,KOSPI,배당성장,70,12555.0,17.18,11.0,-8.19,66.0,"['✅ 변동성 17.2% (매우 안정)', '✅ 꾸준한 성장 (6M 11.0%)', '✅ 낙폭 작음 (-8.2%)']"
441800,플러스배당액티브,KOSPI,배당성장,70,27095.0,51.56,65.9,-19.39,42.4,"['❌ 변동성 51.6% (높음)', '✅ 꾸준한 성장 (6M 65.9%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.4%)', '✅ RSI 적정 (42.4)']"
444200,코리아메가테크액티브,KOSPI,배당성장,70,43320.0,51.86,75.07,-17.26,49.8,"['❌ 변동성 51.9% (높음)', '✅ 꾸준한 성장 (6M 75.1%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-17.3%)', '✅ RSI 적정 (49.8)']"
445150,친환경조선해운액티브,KOSPI,배당성장,70,34995.0,53.31,14.44,-18.25,42.6,"['❌ 변동성 53.3% (높음)', '✅ 꾸준한 성장 (6M 14.4%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.3%)', '✅ RSI 적정 (42.6)']"
448300,미국나스닥100,KOSPI,배당성장,70,19275.0,20.32,1.14,-18.51,46.3,"['✅ 변동성 20.3% (매우 안정)', '❌ 변동 큼 (6M 1.1%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.5%)', '✅ RSI 적정 (46.3)']"
449190,미국나스닥100,KOSPI,배당성장,70,18665.0,20.06,1.12,-18.46,46.0,"['✅ 변동성 20.1% (매우 안정)', '❌ 변동 큼 (6M 1.1%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.5%)', '✅ RSI 적정 (46.0)']"
453340,현대그린푸드,KOSPI,배당성장,70,15940.0,21.74,-0.99,-18.87,40.4,"['✅ 변동성 21.7% (매우 안정)', '❌ 변동 큼 (6M -1.0%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.9%)', '✅ RSI 적정 (40.4)']"
456200,미국달러SOFR금리액티브,KOSPI,배당성장,70,63790.0,12.01,9.84,-8.46,66.4,"['✅ 변동성 12.0% (매우 안정)', '✅ 꾸준한 성장 (6M 9.8%)', '✅ 낙폭 작음 (-8.5%)']"
460270,미국달러SOFR금리액티브,KOSPI,배당성장,70,13355.0,12.21,9.83,-7.97,66.1,"['✅ 변동성 12.2% (매우 안정)', '✅ 꾸준한 성장 (6M 9.8%)', '✅ 낙폭 작음 (-8.0%)']"
460850,동국씨엠,KOSPI,배당성장,70,5660.0,34.83,0.18,-29.94,42.7,"['⚡ 변동성 34.8% (안정)', '⚡ 안정적 (6M 0.2%)', '⚡ 거래 보통', '⚡ 낙폭 보통 (-29.9%)', '✅ RSI 적정 (42.7)']"
463050,바이오액티브,KOSPI,배당성장,70,20170.0,64.32,33.8,-18.35,50.7,"['❌ 변동성 64.3% (높음)', '✅ 꾸준한 성장 (6M 33.8%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.3%)', '✅ RSI 적정 (50.7)']"
463640,미국S,KOSPI,배당성장,70,16270.0,18.81,20.14,-9.43,71.9,"['✅ 변동성 18.8% (매우 안정)', '✅ 꾸준한 성장 (6M 20.1%)', '✅ 낙폭 작음 (-9.4%)']"
