symbol,name,market,strategy,score,price,returns_6m,return_std,from_52w_high,rsi,volume_trend,details
417500,제이아이테크,KOSDAQ,퀄리티 적정가,80,5140.0,63.43,5.03,0.0,66.8,3.26,"['✅ 6M 수익 63.4%', '✅ 변동성 낮음 (σ=5.0)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 66.8, MACD+)', '✅ 관심 증가 (거래량 3.3배)']"
001275,부국증권우,KOSPI,퀄리티 적정가,80,37100.0,37.66,6.86,-2.37,54.1,1.71,"['✅ 6M 수익 37.7%', '✅ 변동성 낮음 (σ=6.9)', '❌ 52주 고점 대비 -2.4%', '✅ 모멘텀 양호 (RSI 54.1, MACD+)', '✅ 관심 증가 (거래량 1.7배)']"
002960,한국쉘석유,KOSPI,퀄리티 적정가,80,532000.0,26.22,4.11,-4.83,60.7,2.63,"['✅ 6M 수익 26.2%', '✅ 변동성 낮음 (σ=4.1)', '❌ 52주 고점 대비 -4.8%', '✅ 모멘텀 양호 (RSI 60.7, MACD+)', '✅ 관심 증가 (거래량 2.6배)']"
003280,흥아해운,KOSPI,퀄리티 적정가,80,3035.0,79.06,3.53,0.0,67.9,4.82,"['✅ 6M 수익 79.1%', '✅ 변동성 낮음 (σ=3.5)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 67.9, MACD+)', '✅ 관심 증가 (거래량 4.8배)']"
003475,유안타증권우,KOSPI,퀄리티 적정가,80,4530.0,20.8,6.8,-13.22,40.9,1.5,"['✅ 6M 수익 20.8%', '✅ 변동성 낮음 (σ=6.8)', '✅ 52주 고점 대비 -13.2%', '❌ 모멘텀 약함 (RSI 40.9)', '✅ 관심 증가 (거래량 1.5배)']"
006980,우성,KOSPI,퀄리티 적정가,80,21400.0,23.27,5.99,-6.75,39.0,1.56,"['✅ 6M 수익 23.3%', '✅ 변동성 낮음 (σ=6.0)', '✅ 52주 고점 대비 -6.8%', '❌ 모멘텀 약함 (RSI 39.0)', '✅ 관심 증가 (거래량 1.6배)']"
016450,한세예스24홀딩스,KOSPI,퀄리티 적정가,80,4845.0,19.04,4.03,-1.72,65.1,1.73,"['✅ 6M 수익 19.0%', '✅ 변동성 낮음 (σ=4.0)', '❌ 52주 고점 대비 -1.7%', '✅ 모멘텀 양호 (RSI 65.1, MACD+)', '✅ 관심 증가 (거래량 1.7배)']"
025860,남해화학,KOSPI,퀄리티 적정가,80,8650.0,24.46,4.65,-3.35,60.8,5.23,"['✅ 6M 수익 24.5%', '✅ 변동성 낮음 (σ=4.7)', '❌ 52주 고점 대비 -3.4%', '✅ 모멘텀 양호 (RSI 60.8, MACD+)', '✅ 관심 증가 (거래량 5.2배)']"
069730,제강,KOSPI,퀄리티 적정가,80,4825.0,23.88,6.58,-0.52,61.1,1.94,"['✅ 6M 수익 23.9%', '✅ 변동성 낮음 (σ=6.6)', '❌ 52주 고점 대비 -0.5%', '✅ 모멘텀 양호 (RSI 61.1, MACD+)', '✅ 관심 증가 (거래량 1.9배)']"
088790,진도,KOSPI,퀄리티 적정가,80,2510.0,29.51,4.01,0.0,75.3,1.75,"['✅ 6M 수익 29.5%', '✅ 변동성 낮음 (σ=4.0)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 75.3, MACD+)', '✅ 관심 증가 (거래량 1.7배)']"
