symbol,name,market,price,strategies_count,s1_top20,s2_turnaround,s3_momentum,s4_breakout,s5_ma200,s1_value,s2_value,s3_value,s4_value,s5_value
046390,삼화네트웍스,KOSDAQ,906.0,2,False,True,True,False,False,286192248.55,26.183844011142064,51.32530120481927,86959692.0,-27.560276486273626
047080,한빛소프트,KOSDAQ,1223.0,2,False,True,True,False,False,149326196.55,13.979496738117426,51.88916876574307,196785592.0,-4.211033353827842
047310,파워로직스,KOSDAQ,5240.0,2,True,False,False,False,True,4163414067.75,29.702970297029708,36.46153846153846,792230360.0,12.348709812287595
049070,인탑스,KOSDAQ,17670.0,2,True,False,False,False,True,1764216966.0,16.556728232189965,39.26267281105991,959498670.0,4.9860969175559156
049180,셀루메드,KOSDAQ,1009.0,2,True,False,False,False,True,2400084874.45,51.72932330827067,37.58573388203018,3758053797.0,0.9075680676050801
049430,코메론,KOSDAQ,19280.0,2,False,False,True,False,True,957555623.5,55.86095392077608,64.04833836858006,933672560.0,57.79609274612672
049520,유아이엘,KOSDAQ,4025.0,2,False,True,False,False,True,819334633.25,27.777777777777768,47.32824427480916,293024025.0,16.63286004056794
049630,재영솔루텍,KOSDAQ,3020.0,2,True,False,False,False,True,34866223731.0,10.62271062271063,29.475587703435806,8797151280.0,46.716964999259105
049950,미래컴퍼니,KOSDAQ,15170.0,2,True,True,False,False,False,1317990536.5,10.891812865497075,42.31536926147705,617267300.0,-7.763212296616972
050090,비케이홀딩스,KOSDAQ,647.0,2,False,True,True,False,False,353912350.4,19.59334565619224,50.98591549295774,28889844.0,-26.621528132194662
051160,지어소프트,KOSDAQ,7680.0,2,False,True,True,False,False,766000812.5,15.662650602409634,56.79442508710801,381726720.0,-9.525183924227331
051360,토비스,KOSDAQ,15560.0,2,True,True,False,False,False,1533533685.5,11.701363962670497,41.2751677852349,623302480.0,-1.2028991488591712
051380,피씨디렉트,KOSDAQ,2010.0,2,False,True,True,False,False,266940885.6,20.431396045536253,54.6943231441048,250474140.0,-6.78758002471751
051500,프레시웨이,KOSDAQ,31000.0,2,True,False,False,False,True,2646904097.5,30.526315789473692,39.686684073107045,2987873000.0,9.828791086153599
052330,코텍,KOSDAQ,10000.0,2,False,True,False,False,True,866449809.0,15.340253748558252,40.9375,147830000.0,8.313611229955198
052860,아이앤씨,KOSDAQ,3845.0,2,False,False,True,False,True,746813504.0,70.50997782705099,63.59447004608295,3049400290.0,59.47111167332686
052900,하이텍,KOSDAQ,1176.0,2,True,False,False,False,True,2234160745.85,31.103678929765888,33.68532206969377,567757512.0,18.495231473784447
053260,금강철강,KOSDAQ,4265.0,2,False,True,False,False,True,215628833.75,12.384716732542822,49.35897435897436,92708305.0,1.4202400556444061
053290,능률,KOSDAQ,2040.0,2,False,True,True,False,False,133878676.05,14.28571428571428,53.12977099236641,75459600.0,-6.260769672601951
