symbol,name,market,strategy,score,price,pb_proxy,volume_ratio,returns_3m,rsi,ma_aligned,checks
481340,미국30년국채액티브,KOSPI,그레이엄 순유동자산,65,9970.0,1.15,0.48,0.64,51.7,False,"['✅ 52주 저가 대비 1.15', '✅ 3M 수익 0.6%', '✅ RSI 51.7', '❌ 역배열/혼조']"
484890,머니마켓액티브,KOSPI,그레이엄 순유동자산,65,51905.0,1.03,0.62,0.67,94.7,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 94.7', '✅ 정배열']"
486830,머니마켓액티브,KOSPI,그레이엄 순유동자산,65,52520.0,1.03,0.3,0.77,88.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 88.0', '✅ 정배열']"
487340,머니마켓액티브,KOSPI,그레이엄 순유동자산,65,104195.0,1.03,0.17,0.82,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 100.0', '✅ 정배열']"
488770,머니마켓액티브,KOSPI,그레이엄 순유동자산,65,103820.0,1.03,0.78,0.86,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.9%', '❌ RSI 100.0', '✅ 정배열']"
488980,회사채,KOSPI,그레이엄 순유동자산,65,51440.0,1.03,0.66,0.83,84.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 84.0', '✅ 정배열']"
490490,미국배당미국채혼합50,KOSPI,그레이엄 순유동자산,65,11535.0,1.23,0.78,7.73,64.0,True,"['✅ 52주 저가 대비 1.23', '✅ 3M 수익 7.7%', '❌ RSI 64.0', '✅ 정배열']"
491230,국공채머니마켓액티브,KOSPI,그레이엄 순유동자산,65,51790.0,1.03,0.88,0.8,62.9,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 62.9', '✅ 정배열']"
491610,금리액티브,KOSPI,그레이엄 순유동자산,65,103520.0,1.03,0.73,0.69,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 100.0', '✅ 정배열']"
491630,미국반도체인버스,KOSPI,그레이엄 순유동자산,65,10280.0,1.1,1.5,-9.5,59.2,False,"['✅ 52주 저가 대비 1.10', '✅ 거래량 1.5배', '❌ 3M 수익 -9.5%', '✅ RSI 59.2', '❌ 역배열/혼조']"
497780,미국천연가스인프라액티브,KOSPI,그레이엄 순유동자산,65,11820.0,1.49,1.32,22.32,64.8,True,"['⚡ 52주 저가 대비 1.49', '⚡ 거래량 1.3배', '✅ 3M 수익 22.3%', '❌ RSI 64.8', '✅ 정배열']"
497880,금리,KOSPI,그레이엄 순유동자산,65,50075.0,1.03,0.78,0.81,81.5,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 81.5', '✅ 정배열']"
499660,금리플러스액티브,KOSPI,그레이엄 순유동자산,65,1001490.0,1.03,0.84,0.71,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 100.0', '✅ 정배열']"
006910,보성파워텍,KOSDAQ,그레이엄 순유동자산,60,12090.0,5.33,1.39,113.98,48.7,True,"['❌ 52주 저가 대비 5.33', '⚡ 거래량 1.4배', '✅ 3M 수익 114.0%', '✅ RSI 48.7', '✅ 정배열']"
012620,원일특강,KOSDAQ,그레이엄 순유동자산,60,8620.0,1.29,0.53,4.23,28.2,False,"['✅ 52주 저가 대비 1.29', '✅ 3M 수익 4.2%', '⚡ RSI 28.2 (과매도)', '❌ 역배열/혼조']"
018700,바른손,KOSDAQ,그레이엄 순유동자산,60,545.0,1.0,1.68,-42.57,22.1,False,"['✅ 52주 저가 대비 1.00', '✅ 거래량 1.7배', '❌ 3M 수익 -42.6%', '⚡ RSI 22.1 (과매도)', '❌ 역배열/혼조']"
032960,동일기연,KOSDAQ,그레이엄 순유동자산,60,16500.0,1.65,1.01,15.55,52.3,True,"['❌ 52주 저가 대비 1.65', '⚡ 거래량 1.0배', '✅ 3M 수익 15.5%', '✅ RSI 52.3', '✅ 정배열']"
034950,한국기업평가,KOSDAQ,그레이엄 순유동자산,60,100000.0,1.17,0.25,0.5,24.4,False,"['✅ 52주 저가 대비 1.17', '✅ 3M 수익 0.5%', '⚡ RSI 24.4 (과매도)', '❌ 역배열/혼조']"
036180,지더블유바이텍,KOSDAQ,그레이엄 순유동자산,60,2.0,1.0,2.45,-99.65,0.0,False,"['✅ 52주 저가 대비 1.00', '✅ 거래량 2.5배', '❌ 3M 수익 -99.7%', '⚡ RSI 0.0 (과매도)', '❌ 역배열/혼조']"
036810,에프에스티,KOSDAQ,그레이엄 순유동자산,60,42300.0,2.65,1.42,54.55,51.3,True,"['❌ 52주 저가 대비 2.65', '⚡ 거래량 1.4배', '✅ 3M 수익 54.5%', '✅ RSI 51.3', '✅ 정배열']"
036830,솔브레인홀딩스,KOSDAQ,그레이엄 순유동자산,60,54500.0,2.15,1.42,33.25,52.7,True,"['❌ 52주 저가 대비 2.15', '⚡ 거래량 1.4배', '✅ 3M 수익 33.3%', '✅ RSI 52.7', '✅ 정배열']"
038500,삼표시멘트,KOSDAQ,그레이엄 순유동자산,60,17100.0,5.94,1.38,217.84,53.4,True,"['❌ 52주 저가 대비 5.94', '⚡ 거래량 1.4배', '✅ 3M 수익 217.8%', '✅ RSI 53.4', '✅ 정배열']"
040160,누리플렉스,KOSDAQ,그레이엄 순유동자산,60,10000.0,4.27,1.07,151.26,59.0,True,"['❌ 52주 저가 대비 4.27', '⚡ 거래량 1.1배', '✅ 3M 수익 151.3%', '✅ RSI 59.0', '✅ 정배열']"
040350,크레오에스지,KOSDAQ,그레이엄 순유동자산,60,613.0,1.1,1.29,10.25,17.3,False,"['✅ 52주 저가 대비 1.10', '⚡ 거래량 1.3배', '⚡ 3M 수익 10.3%', '⚡ RSI 17.3 (과매도)', '❌ 역배열/혼조']"
043340,에쎈테크,KOSDAQ,그레이엄 순유동자산,60,470.0,1.22,0.07,12.17,22.7,False,"['✅ 52주 저가 대비 1.22', '✅ 3M 수익 12.2%', '⚡ RSI 22.7 (과매도)', '❌ 역배열/혼조']"
052400,코나아이,KOSDAQ,그레이엄 순유동자산,60,66800.0,2.81,1.27,33.87,46.4,True,"['❌ 52주 저가 대비 2.81', '⚡ 거래량 1.3배', '✅ 3M 수익 33.9%', '✅ RSI 46.4', '✅ 정배열']"
056090,시지메드텍,KOSDAQ,그레이엄 순유동자산,60,2835.0,3.28,1.17,122.0,48.5,True,"['❌ 52주 저가 대비 3.28', '⚡ 거래량 1.2배', '✅ 3M 수익 122.0%', '✅ RSI 48.5', '✅ 정배열']"
058450,한주에이알티,KOSDAQ,그레이엄 순유동자산,60,406.0,1.08,1.84,-50.67,25.4,False,"['✅ 52주 저가 대비 1.08', '✅ 거래량 1.8배', '❌ 3M 수익 -50.7%', '⚡ RSI 25.4 (과매도)', '❌ 역배열/혼조']"
064760,티씨케이,KOSDAQ,그레이엄 순유동자산,60,242500.0,3.11,1.04,66.67,57.8,True,"['❌ 52주 저가 대비 3.11', '⚡ 거래량 1.0배', '✅ 3M 수익 66.7%', '✅ RSI 57.8', '✅ 정배열']"
073560,우리손에프앤지,KOSDAQ,그레이엄 순유동자산,60,1680.0,1.28,0.26,7.07,16.3,False,"['✅ 52주 저가 대비 1.28', '✅ 3M 수익 7.1%', '⚡ RSI 16.3 (과매도)', '❌ 역배열/혼조']"
