code,name,signal_date,entry_date,entry_price,exit_price,return,days,reason,scan_close
215380,우정바이오,2026-03-03,2026-03-05,2075.0,1971.25,-5.0,1,stop_loss,3030.0
218420,Stock,2026-03-03,2026-03-05,18840.0,20724.0,10.0,2,take_profit,19515.0
219390,Stock,2026-03-03,2026-03-05,6480.0,7128.000000000001,10.0,1,take_profit,7300.0
225030,Stock,2026-03-03,2026-03-05,2490.0,2560.0,2.8112449799196786,5,time_exit,2515.0
232830,아이티센피엔에스,2026-03-03,2026-03-05,1966.0,2162.6000000000004,10.0,1,take_profit,2205.0
236810,엔비티,2026-03-03,2026-03-05,1730.0,1903.0000000000002,10.0,1,take_profit,1936.0
256750,Stock,2026-03-03,2026-03-05,14735.0,15840.0,7.499151679674244,5,time_exit,15180.0
280930,Stock,2026-03-03,2026-03-05,14800.0,14060.0,-5.0,2,stop_loss,15095.0
283580,Stock,2026-03-03,2026-03-05,15765.0,16230.0,2.949571836346337,5,time_exit,15960.0
290520,신도기연,2026-03-03,2026-03-05,1630.0,1793.0000000000002,10.0,3,take_profit,1760.0
290740,액트로,2026-03-03,2026-03-05,25100.0,23845.0,-5.0,1,stop_loss,28000.0
309710,아이티켐,2026-03-03,2026-03-05,27700.0,30470.000000000004,10.0,1,take_profit,33450.0
330590,롯데리츠,2026-03-03,2026-03-05,4400.0,4685.0,6.4772727272727275,5,time_exit,4620.0
348080,큐라티스,2026-03-03,2026-03-05,1030.0,1133.0,10.0,1,take_profit,1095.0
348210,넥스틴,2026-03-03,2026-03-05,74600.0,82060.0,10.0,1,take_profit,82000.0
352940,인바이오,2026-03-03,2026-03-05,1999.0,2198.9,10.0,2,take_profit,2095.0
355690,에이텀,2026-03-03,2026-03-05,4044.0,4448.400000000001,10.0,1,take_profit,4068.0
357580,아모센스,2026-03-03,2026-03-05,14610.0,16071.000000000002,10.0,1,take_profit,16100.0
367380,Stock,2026-03-03,2026-03-05,27845.0,27940.0,0.3411743580535105,5,time_exit,27625.0
368590,Stock,2026-03-03,2026-03-05,26949.0,27039.0,0.3339641545140821,5,time_exit,26739.0
379810,Stock,2026-03-03,2026-03-05,24265.0,24350.0,0.35029878425716054,5,time_exit,24070.0
